Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 50,3/0,8/0,14/0,16/1,23/1,30/1,40/1,47/1,50/1,56/1,61/1,66/2,70/3,84/3,88/3,94/3,100/3,112/3,121/3,133/3
Match 51,5/1,7/1,16/1,23/1,30/1,42/2,52/2,57/3,76/3,84/3,97/3,99/4,103/4,106/5,111/5,115/5,126/6,135/6,140/9,144/10
Match 52,7/0,9/1,12/2,14/2,15/2,18/2,23/2,24/4,25/5,30/5,32/6,35/6,38/7,42/7,44/8,49/9,51/10,N/A,N/A,N/A
Match 53,6/0,10/0,21/0,32/0,42/1,44/1,53/1,56/1,67/1,73/1,82/2,83/3,87/3,90/4,105/4,113/5,119/6,128/6,132/8,139/9
Match 54,10/0,10/1,22/1,28/1,29/1,36/1,40/1,49/1,63/1,74/1,102/1,110/1,126/1,147/2,152/2,165/2,177/2,197/2,213/2,234/2
Match 55,11/0,24/0,29/0,39/0,43/1,49/1,56/1,63/1,73/1,83/1,88/1,93/2,99/2,110/2,121/2,134/2,143/2,164/3,168/4,181/4
Match 56,4/0,10/0,19/0,28/0,38/0,39/1,42/2,45/2,55/2,65/2,70/3,85/3,88/4,95/4,98/5,109/5,130/5,149/5,158/5,176/6
Match 57,3/0,13/0,17/1,45/1,56/1,64/1,69/1,83/1,93/1,101/1,108/1,125/1,127/3,133/3,141/4,153/4,161/4,173/4,179/4,194/4
Match 58,2/0,10/0,16/1,35/2,45/2,57/2,65/3,66/4,69/4,74/4,87/4,92/4,103/4,109/4,120/5,126/5,133/5,143/6,148/7,157/8
Match 59,3/0,11/0,16/1,21/1,36/2,46/3,53/3,54/5,60/5,62/5,73/5,82/5,94/5,100/5,112/5,130/5,137/6,146/8,150/9,155/10
Match 60,4/1,15/2,20/2,34/3,42/3,53/4,57/4,64/4,72/4,75/4,89/4,92/5,106/5,113/6,124/6,131/6,136/6,143/7,155/8,171/8
Match 61,4/0,4/2,8/2,16/2,21/2,22/2,28/2,33/2,43/2,51/2,63/2,79/2,84/3,93/4,98/4,107/4,119/4,125/5,154/5,176/5
Match 62,5/0,16/0,27/1,45/1,56/1,65/1,75/1,92/1,102/2,109/2,121/3,139/3,146/3,156/3,169/3,192/3,209/3,230/3,240/4,253/4
Match 63,7/0,23/0,35/1,47/1,63/1,82/1,98/1,113/1,122/1,152/1,166/1,179/1,190/1,201/2,213/3,234/3,252/3,267/3,282/4,297/6
Match 64,7/0,16/0,26/0,42/0,52/0,62/0,65/0,73/1,80/1,83/2,85/2,93/3,97/3,102/3,109/3,120/3,144/3,153/4,162/5,171/6
Match 65,3/1,5/2,11/2,16/2,29/2,33/2,36/2,40/2,51/3,54/3,59/3,61/3,64/3,68/3,72/4,73/5,77/6,77/9,79/10,N/A
Match 66,3/0,6/0,6/0,12/0,15/2,18/2,23/2,31/2,33/2,38/2,39/2,45/3,55/3,60/4,63/6,67/6,74/7,79/7,86/8,99/8
Match 67,5/1,10/2,22/2,28/2,39/2,47/2,54/2,63/2,66/2,69/2,73/2,86/3,89/4,94/5,97/5,103/6,117/6,118/8,124/8,135/8
Match 68,1/0,2/0,4/0,13/0,17/0,25/0,30/0,41/0,47/1,56/1,60/1,64/1,72/1,76/1,84/2,94/3,104/3,120/3,128/3,141/3
Match 69,9/0,20/0,22/1,32/1,50/1,58/2,60/3,63/3,77/3,81/3,90/3,92/4,98/4,103/4,109/5,117/5,134/5,144/6,164/6,172/10
Match 70,7/1,9/1,19/1,25/2,37/3,48/3,54/3,60/4,68/4,78/4,83/4,90/4,97/4,107/5,113/5,122/5,135/5,139/7,142/8,155/9
Match 71,8/0,15/0,16/1,32/1,42/1,50/1,64/1,69/1,82/1,95/1,106/2,115/2,129/2,135/3,137/4,147/4,152/5,164/6,167/7,178/7
Match 72,4/1,19/1,25/1,32/2,34/3,39/4,43/4,45/5,46/6,51/7,53/7,55/8,61/8,68/9,71/9,77/9,79/9,79/10,N/A,N/A
Match 73,2/0,12/0,13/3,23/3,25/3,34/3,39/3,47/3,54/3,71/3,82/3,92/4,94/4,102/4,105/4,121/4,137/4,146/4,163/4,171/4
Match 74,5/1,12/1,16/1,18/1,28/1,41/1,51/1,55/1,60/1,67/1,79/1,96/1,98/2,104/2,112/3,116/3,121/4,130/4,135/5,146/5
Match 75,8/0,14/0,19/1,21/1,31/1,41/1,46/2,51/3,59/3,63/3,70/3,78/3,87/3,102/3,108/4,114/4,118/5,132/5,146/6,155/7
Match 76,1/0,2/0,12/0,14/1,16/1,24/1,27/1,31/1,33/2,42/3,50/3,58/3,65/3,70/4,75/4,84/4,89/4,91/6,95/6,101/7
Match 77,5/0,17/0,34/0,40/1,53/1,64/1,73/1,82/1,93/1,109/1,115/2,127/2,132/2,135/3,143/5,151/5,155/6,160/6,165/7,175/8
Match 78,1/0,4/0,6/0,10/0,11/0,14/1,18/1,26/1,36/1,40/2,42/3,48/3,56/4,59/4,65/4,71/4,76/5,82/5,94/5,98/7
Match 79,8/0,20/0,22/1,36/1,42/2,52/2,57/2,59/2,69/2,73/3,83/3,88/4,92/4,97/4,102/4,125/4,135/4,153/4,161/5,176/6
Match 80,8/0,18/0,27/0,37/0,46/0,50/1,54/1,60/1,69/1,75/2,83/3,90/3,93/4,105/4,115/4,121/4,135/4,150/4,159/6,164/9
Match 81,6/0,13/2,18/2,24/3,29/4,35/4,37/5,38/6,39/6,40/6,42/7,46/7,48/7,52/7,55/7,59/8,66/8,75/9,77/9,82/10
Match 82,13/0,22/1,29/1,37/1,44/2,50/2,55/2,58/3,61/3,67/3,71/3,83/3,91/3,99/3,107/4,123/4,125/5,142/6,151/7,157/7
Match 83,1/0,11/0,20/0,28/1,35/1,43/1,46/2,51/2,53/3,57/3,72/3,78/3,88/3,99/3,109/3,125/3,134/4,145/5,155/5,172/6
Match 84,14/0,20/1,21/1,26/1,31/1,44/1,49/2,54/2,55/2,59/3,68/4,74/4,80/4,84/5,87/5,91/5,104/6,109/6,114/7,127/7
Match 85,2/0,8/0,12/2,12/2,16/2,18/2,18/3,24/3,24/3,26/4,32/4,42/4,45/4,48/5,51/5,57/5,58/7,69/7,82/7,86/10
Match 86,1/2,1/2,1/2,6/3,7/4,14/4,15/4,17/6,20/6,23/8,24/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 87,6/0,17/0,22/0,23/0,34/0,38/1,46/1,54/1,62/1,66/1,68/2,79/2,88/2,92/2,95/3,100/3,106/3,109/5,122/6,132/7
Match 88,4/0,11/0,19/0,31/0,37/1,40/3,45/3,57/3,64/3,64/4,71/4,81/4,91/5,100/5,108/6,118/6,126/6,134/6,149/6,167/6
Match 89,20/0,29/0,41/0,51/0,62/0,62/1,68/1,72/1,78/1,83/1,88/1,95/1,102/1,104/2,111/3,119/4,128/4,135/5,141/6,159/6
Match 90,4/1,11/2,16/3,19/4,23/4,30/4,34/5,44/5,50/5,61/5,63/6,65/6,71/6,82/6,85/6,94/7,105/7,122/7,133/7,137/8
Match 91,13/0,22/0,36/0,51/0,59/0,74/1,81/2,98/2,102/2,111/2,122/2,135/2,146/2,153/3,159/3,172/3,181/4,192/4,203/6,213/7
