Enter the details for prediction:

Predicted Scores Table:47/10
 Over  Score  Wickets  Predicted Final Score
    6     51        2                 173.76
    7     54        2                 164.22
    8     64        3                 172.65
    9     66        3                 168.05
   10     68        3                 159.94
   11     79        3                 171.34
   12     92        3                 162.53
   13    100        3                 164.99
   14    106        4                 162.19
   15    120        4                 166.42

Predicted Scores Table:106/5
 Over  Score  Wickets  Predicted Final Score
    6     33        1                 107.50
    7     39        1                 134.62
    8     43        1                 128.38
    9     48        1                 139.98
   10     50        2                 115.79
   11     51        3                  99.45
   12     51        4                  90.98
   13     63        4                 115.26
   14     70        4                  93.25
   15     74        4                  92.84

Predicted Scores Table:56/10
 Over  Score  Wickets  Predicted Final Score
    6     25        6                  52.48
    7     32        6                  60.28
    8     38        6                  63.30
    9     45        6                  76.31
   10     46        7                  55.16
   11     50        8                  61.33
   12     55        8                  61.08
   13     56        9                  58.06
   14     56       10                  57.14

Predicted Scores Table:77/10
 Over  Score  Wickets  Predicted Final Score
    6     33        3                 126.77
    7     36        4                 119.77
    8     40        4                  90.01
    9     42        4                 106.45
   10     48        4                  95.91
   11     48        5                  83.85
   12     51        5                  81.41
   13     51        6                  81.53
   14     54        6                  79.97
   15     56        6                  81.41

Predicted Scores Table:142/5
 Over  Score  Wickets  Predicted Final Score
    6     43        0                 153.58
    7     47        0                 168.33
    8     53        1                 137.16
    9     59        1                 139.48
   10     61        2                 138.49
   11     63        2                 133.81
   12     76        2                 142.20
   13     78        3                 136.13
   14     84        3                 135.76
   15     95        3                 137.33

Predicted Scores Table:85/10
 Over  Score  Wickets  Predicted Final Score
    6     36        3                  94.89
    7     40        3                 101.61
    8     47        4                 140.84
    9     49        4                  99.23
   10     55        4                 120.47
   11     60        4                 132.58
   12     64        5                 105.23
   13     70        5                  92.09
   14     70        7                  89.10
   15     79        7                 106.91

Predicted Scores Table:147/5
 Over  Score  Wickets  Predicted Final Score
    6     32        2                 110.23
    7     35        2                 135.52
    8     41        3                 135.30
    9     44        3                 135.32
   10     55        3                 118.59
   11     66        3                 146.05
   12     71        4                 149.17
   13     74        4                 130.72
   14     77        4                 132.72
   15     96        4                 144.71

Predicted Scores Table:104/6
 Over  Score  Wickets  Predicted Final Score
    6     21        1                  82.95
    7     25        1                 105.18
    8     30        2                 120.46
    9     36        4                  84.81
   10     44        4                  98.39
   11     46        5                  99.33
   12     54        5                 109.98
   13     65        5                 103.80
   14     70        5                 100.08
   15     76        6                 106.14

Predicted Scores Table:201/7
 Over  Score  Wickets  Predicted Final Score
    6     74        2                 214.14
    7     82        2                 213.12
    8     85        2                 177.57
    9     97        2                 207.75
   10    102        2                 215.44
   11    111        2                 213.85
   12    118        2                 193.51
   13    136        2                 207.29
   14    140        3                 199.82
   15    149        4                 217.04

Predicted Scores Table:136/8
 Over  Score  Wickets  Predicted Final Score
    6     34        3                 142.94
    7     39        3                 140.24
    8     47        3                 150.66
    9     52        4                 130.52
   10     57        4                 148.88
   11     62        4                 139.14
   12     67        4                 126.80
   13     81        4                 138.62
   14     90        4                 136.03
   15     94        5                 135.61
